period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:34.0,94,Foul: Offensive,George Hill,Andrew Wiggins,CNC,Hill (UTA) sets the screen on Wiggins (MIN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1050,20170107UTAMIN,20170107UTAMIN-0,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,MIN,UTA
Q4,00:58.6,58.6,Violation: Kicked Ball,Zach LaVine,,CC,LaVine (MIN) intentionally kicks the ball on the play.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=485,20170107UTAMIN,20170107UTAMIN-1,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,UTA,MIN
Q4,00:58.6,58.6,Foul: Away from Play,Karl-Anthony Towns,Gordon Hayward,CNC,Towns (MIN) and Hayward (UTA) make incidental contact that does not affect Hayward's FOM off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1051,20170107UTAMIN,20170107UTAMIN-2,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,UTA,MIN
Q4,00:52.0,52,Foul: Personal,Ricky Rubio,George Hill,CC,Rubio (MIN) makes contact with Hill (UTA) that affects his SQBR on the drive to the basket.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=488,20170107UTAMIN,20170107UTAMIN-3,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,UTA,MIN
Q4,00:52.0,52,Foul: Away from Play,Gordon Hayward,Andrew Wiggins,CNC,Hayward (UTA) and Wiggins (MIN) make incidental contact that does not affect Wiggins' FOM off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1052,20170107UTAMIN,20170107UTAMIN-4,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,MIN,UTA
Q4,00:27.5,27.5,Foul: Personal,Rudy Gobert,Karl-Anthony Towns,CNC,Gobert (UTA) and Towns (MIN) make incidental contact that does not affect Towns' FOM off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1053,20170107UTAMIN,20170107UTAMIN-5,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,MIN,UTA
Q4,00:19.8,19.8,Foul: Personal,Joe Ingles,Nemanja Bjelica,,[Observable in enhanced video] RATR shows Ingles (UTA) grabs Bjelica's (MIN) jersey and affects his FOM off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1054,20170107UTAMIN,20170107UTAMIN-6,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,MIN,UTA
Q4,00:02.1,2.1,Foul: Loose Ball,Gordon Hayward,Andrew Wiggins,CNC,Hayward (UTA) and Wiggins (MIN) briefly engage and separate during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021600556&eventNum=1055,20170107UTAMIN,20170107UTAMIN-7,UTA,MIN,20170107,Bill Kennedy,Mark Lindsay,Gary Zielinski,94,92,L2M-UTA-MIN-01-07-17.pdf,http://www.basketball-reference.com/boxscores/201701070MIN.html,MIN,UTA
