period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:52.0,112,Turnover: Traveling,LaMarcus Aldridge,,INC,Aldridge (SAS) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=1289,20151028SASOKC,20151028SASOKC-0,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,OKC,SAS
Q4,01:20.0,80,Foul: Shooting,Kevin Durant,Kawhi Leonard,CNC,LHH shows Durant (OKC) does not make contact with Leonard (SAS) on his shot.,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=1290,20151028SASOKC,20151028SASOKC-1,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,SAS,OKC
Q4,00:42.0,42,Foul: Shooting,Kevin Durant,Kawhi Leonard,CC,"LATR shows Durant (OKC) bump Leonard (SAS), and the contact affects his shooting movement.",http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=523,20151028SASOKC,20151028SASOKC-2,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,SAS,OKC
Q4,00:15.0,15,Foul: Shooting,Steven Adams,Danny Green,CNC,Adams (OKC) cleanly blocks Green's (SAS) shot and makes incidental contact after he follows through.,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=1291,20151028SASOKC,20151028SASOKC-3,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,SAS,OKC
Q4,00:11.5,11.5,Foul: Personal Take,Kawhi Leonard,Kevin Durant,CC,Leonard (SAS) commits a take foul on Durant (OKC).,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=543,20151028SASOKC,20151028SASOKC-4,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,OKC,SAS
Q4,00:03.2,3.2,Foul: Personal Take,Kawhi Leonard,Russell Westbrook,CC,Leonard (SAS) commits a take foul on Westbrook (OKC).,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=556,20151028SASOKC,20151028SASOKC-5,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,OKC,SAS
Q4,00:00.6,0.6,Foul: Shooting,Serge Ibaka,Danny Green,,[Incidental or immaterial] Ibaka (OKC) jumps A to B and makes contact with Green (SAS) while he is in the air and after the shot is taken.,http://official.nba.com/last-two-minute-report/?gameNo=0021500013&eventNum=1292,20151028SASOKC,20151028SASOKC-6,SAS,OKC,20151028,Tony Brown,Tre Maddox,Monty McCutchen,106,112,L2M-SAS-OKC-10-28-15.pdf,http://www.basketball-reference.com/boxscores/201510280OKC.html,SAS,OKC
