period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:46.0,106,Turnover: 3 Second Violation,Taj Gibson,,,[Detectable with stop watch] Gibson (MIN) is in the paint for longer than three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1025,20171027OKCMIN,20171027OKCMIN-0,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,OKC,MIN
Q4,01:44.0,104,Foul: Offensive,Taj Gibson,Paul George,CNC,Gibson (MIN) sets the screen on George (OKC) and gives him room to avoid the contact. 01:42.1 01:42.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1026,20171027OKCMIN,20171027OKCMIN-1,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,OKC,MIN
Q4,01:35.0,95,Foul: Offensive,Steven Adams,Jimmy Butler,CNC,"Adams (OKC) sets the screen on Butler (MIN) and gives him room to avoid the contact. Butler clamps Adams' arm following the screen, but the contact does not affect Adams' movement.",http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1027,20171027OKCMIN,20171027OKCMIN-2,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,MIN,OKC
Q4,01:25.0,85,Foul: Loose Ball,Steven Adams,Karl-Anthony Towns,CNC,Adams (OKC) cleanly makes contact with the ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1028,20171027OKCMIN,20171027OKCMIN-3,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,MIN,OKC
Q4,01:24.0,84,Foul: Loose Ball,Jimmy Butler,Russell Westbrook,INC,RHH shows Butler (MIN) makes contact to Westbrook (OKC) that affects his ability to retrieve the rebound. 01:20.1 01:20.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1029,20171027OKCMIN,20171027OKCMIN-4,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,OKC,MIN
Q4,01:15.0,75,Foul: Shooting,Jerami Grant,Jimmy Butler,CNC,Grant (OKC) maintains legal guarding position and makes incidental contact with Butler (MIN) that does not affect his driving shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1030,20171027OKCMIN,20171027OKCMIN-5,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,MIN,OKC
Q4,01:14.0,74,Foul: Loose Ball,Karl-Anthony Towns,Paul George,CNC,Towns (MIN) makes incidental contact with George (OKC) that does not affect his ability to retrieve the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1031,20171027OKCMIN,20171027OKCMIN-6,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,OKC,MIN
Q4,01:10.0,70,Foul: Shooting,Steven Adams,Jimmy Butler,CNC,"Butler (MIN) initiates the contact with Adams (OKC), who is in a legal guarding position contesting the shot attempt.",http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1032,20171027OKCMIN,20171027OKCMIN-7,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,MIN,OKC
Q4,01:08.0,68,Foul: Inbound,Taj Gibson,Carmelo Anthony,CNC,Gibson (MIN) and Anthony (OKC) briefly engage and separate during the inbound. 01:08.1 01:08.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=1033,20171027OKCMIN,20171027OKCMIN-8,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,OKC,MIN
Q4,01:07.0,67,Instant Replay: Overturn Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor that Anthony (OKC) was attempting a 2pt field goal at the time of the foul is overturned to a 3pt field goal attempt.",http://official.nba.com/last-two-minute-report/?gameNo=0021700074&eventNum=655,20171027OKCMIN,20171027OKCMIN-9,OKC,MIN,20171027,Tony Brown,Ken Mauer,Justin Van Duyne,116,119,L2M-OKC-MIN-10-27-2017.pdf,https://www.basketball-reference.com/boxscores/201710270MIN.html,,
