period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:54.0,114,Foul: Personal,Dwight Howard,Nikola Vucevic,CNC,Howard (HOU) and Vucevic (ORL) briefly engage and then separate.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1251,20151223HOUORL,20151223HOUORL-0,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,01:47.0,107,Foul: Personal,Trevor Ariza,Nikola Vucevic,CNC,Ariza (HOU) makes incidental contact with Vucevic (ORL) that does not affect his FOM.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1252,20151223HOUORL,20151223HOUORL-1,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,01:43.0,103,Foul: Loose Ball,Victor Oladipo,Ty Lawson,CNC,Oladipo (ORL) makes incidental contact with Lawson (HOU) while attempting to rebound the ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1253,20151223HOUORL,20151223HOUORL-2,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,HOU,ORL
Q4,01:23.0,83,Foul: Offensive,Ty Lawson,Tobias Harris,CC,"RHH and RATR show Lawson (HOU) extends his hip into Harris (ORL) as he sets the hand-off screen, and doesn't give him room to avoid the contact.",http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=436,20151223HOUORL,20151223HOUORL-3,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,01:15.0,75,Foul: Shooting,Dwight Howard,Elfrid Payton,CNC,Howard (HOU) makes incidental contact with Payton (ORL) that does not affect his movement to the basket or shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1254,20151223HOUORL,20151223HOUORL-4,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,01:07.0,67,Foul: Offensive,James Harden,Victor Oladipo,CNC,Harden (HOU) steps toward Oladipo (ORL) as he is retreating and extends his arm to gain space. Oladipo's movement backwards does not appear to be commensurate with the level of contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1255,20151223HOUORL,20151223HOUORL-5,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,01:05.0,65,Foul: Offensive,Dwight Howard,Victor Oladipo,INC,"Howard (HOU) sets the screen on Oladipo (ORL), clamping his arms and limiting his ability to get over the screen.",http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1256,20151223HOUORL,20151223HOUORL-6,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,00:47.4,47.4,Foul: Offensive,Nikola Vucevic,Ty Lawson,CNC,Vucevic (ORL) sets the screen on Lawson (HOU) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1257,20151223HOUORL,20151223HOUORL-7,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,HOU,ORL
Q4,00:44.4,44.4,Foul: Personal,James Harden,Elfrid Payton,INC,"LATR shows that Harden (HOU) makes contact with Payton's (ORL) arm, causing him to lose control of the ball.",http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1258,20151223HOUORL,20151223HOUORL-8,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
Q4,00:43.0,43,Violation: Jump Ball,Dwight Howard,Elfrid Payton,CC,Howard (HOU) and Payton (ORL) have simultaneous possession of the ball and a jump ball is correctly called.,http://official.nba.com/last-two-minute-report/?gameNo=0021500426&eventNum=1259,20151223HOUORL,20151223HOUORL-9,HOU,ORL,20151223,Steve Anderson,David Guthrie,Bill Kennedy,101,104,L2M-HOU-ORL-12-23-15.pdf,http://www.basketball-reference.com/boxscores/201512230ORL.html,ORL,HOU
