period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:57.0,117,Turnover: Traveling,DeMarcus Cousins,,,[Observable in enhanced video] Cousins (SAC) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1091,20170203PHOSAC,20170203PHOSAC-0,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,PHO,SAC
Q4,01:40.0,100,Turnover: 3 Second Violation,Tyson Chandler,,,[Detectable with stop watch] Chandler (PHX) is in the paint for longer than three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1092,20170203PHOSAC,20170203PHOSAC-1,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,01:38.0,98,Turnover: Traveling,TJ Warren,,,[Observable in enhanced video] Warren (PHX) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1093,20170203PHOSAC,20170203PHOSAC-2,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,01:06.0,66,Foul: Offensive,Tyson Chandler,Ty Lawson,CNC,Chandler (PHX) sets the screen on Lawson (SAC) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1094,20170203PHOSAC,20170203PHOSAC-3,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,01:02.0,62,Foul: Loose Ball,Anthony Tolliver,PJ Tucker,CNC,Tolliver (SAC) makes incidental conact with Tucker (PHX) that does not affect his ability to retrieve the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1095,20170203PHOSAC,20170203PHOSAC-4,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,PHX,SAC
Q4,00:52.0,52,Foul: Shooting,Tyson Chandler,DeMarcus Cousins,CNC,Chandler (PHX) makes marginal contact with Cousins (SAC) that does not affect his shot attempt in the post.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1096,20170203PHOSAC,20170203PHOSAC-5,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,00:43.8,43.8,Foul: Personal,Tyson Chandler,DeMarcus Cousins,CC,Chandler (PHX) dislodges Cousins (SAC) and affects his movement in the post.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=539,20170203PHOSAC,20170203PHOSAC-6,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,00:31.0,31,Foul: Shooting,PJ Tucker,DeMarcus Cousins,CNC,Cousins (SAC) initiates the contact with Tucker (PHX) and it does not affect his jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1097,20170203PHOSAC,20170203PHOSAC-7,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,00:30.0,30,Foul: Loose Ball,Devin Booker,Matt Barnes,CNC,Booker (PHX) and Barnes (SAC) briefly engage and separate during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1098,20170203PHOSAC,20170203PHOSAC-8,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,SAC,PHX
Q4,00:21.0,21,Foul: Offensive,DeMarcus Cousins,TJ Warren,CNC,"Warren (PHX) runs into Tucker (PHX), causing both players to fall to the floor. Any contact by Cousins (SAC) is incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=1099,20170203PHOSAC,20170203PHOSAC-9,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,PHX,SAC
Q4,00:00.0,0,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor that Booker (PHX) released his field goal attempt prior to the game clock expiring is confirmed.",http://official.nba.com/last-two-minute-report/?gameNo=0021600753&eventNum=552,20170203PHOSAC,20170203PHOSAC-10,PHO,SAC,20170203,Sean Corbin,Eric Lewis,Leon Wood,105,103,L2M-PHX-SAC-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030SAC.html,,
