period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:59.0,119,Stoppage: Out-of-Bounds,,,CC,The ball is tipped out of bounds and last touched by DEN.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=551,20170203MILDEN,20170203MILDEN-0,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,,
Q4,01:59.0,119,Instant Replay: Overturn Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor of DEN possession is overturned. MIL is awarded possession.",http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=552,20170203MILDEN,20170203MILDEN-1,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,,
Q4,01:45.0,105,Foul: Shooting,Nikola Jokic,Jabari Parker,CNC,Jokic (DEN) maintains legal guarding position and makes incidental contact with Parker (MIL) that does not affect his drive to the basket and shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1110,20170203MILDEN,20170203MILDEN-2,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,MIL,DEN
Q4,00:56.0,56,Turnover: 3 Second Violation,Kenneth Faried,,,[Detectable with stop watch] Faried (DEN) is in the paint for longer than three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1111,20170203MILDEN,20170203MILDEN-3,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,MIL,DEN
Q4,00:48.0,48,Foul: Shooting,Nikola Jokic,Giannis Antetokounmpo,CNC,Jokic (DEN) maintains legal guarding position on the driving shot attempt by Antetokounmpo (MIL).,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1112,20170203MILDEN,20170203MILDEN-4,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,MIL,DEN
Q4,00:47.0,47,Stoppage: Out-of-Bounds,,,CC,The ball is tipped out of bounds and last touched by MIL.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=560,20170203MILDEN,20170203MILDEN-5,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,,
Q4,00:47.0,47,Instant Replay: Overturn Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor of MIL possession is overturned. DEN is awarded possession.",http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=561,20170203MILDEN,20170203MILDEN-6,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,,
Q4,00:29.0,29,Foul: Personal,John Henson,Jameer Nelson,CNC,Henson (MIL) makes incidental contact with Nelson (DEN) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1113,20170203MILDEN,20170203MILDEN-7,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:24.4,24.4,Foul: Shooting,Jabari Parker,Kenneth Faried,CC,Parker (MIL) makes contact with Faried (DEN) that affects his shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=568,20170203MILDEN,20170203MILDEN-8,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:19.0,19,Foul: Offensive,John Henson,Nikola Jokic,CNC,Henson (MIL) makes marginal contact with Jokic (DEN) on the screen.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1114,20170203MILDEN,20170203MILDEN-9,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:17.8,17.8,Turnover: Traveling,Jabari Parker,,CC,Parker (MIL) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=578,20170203MILDEN,20170203MILDEN-10,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:16.7,16.7,Foul: Personal,John Henson,Wilson Chandler,CC,Henson (MIL) commits a take foul on Chandler (DEN).,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=579,20170203MILDEN,20170203MILDEN-11,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:14.0,14,Foul: Personal,Tony Snell,Will Barton,CNC,Snell (MIL) makes marginal contact with Barton (DEN) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=1115,20170203MILDEN,20170203MILDEN-12,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:12.2,12.2,Foul: Personal,Giannis Antetokounmpo,Wilson Chandler,CC,Antetokounmpo (MIL) commits a take foul on Chandler (DEN).,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=590,20170203MILDEN,20170203MILDEN-13,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:00.3,0.3,Foul: Personal,Giannis Antetokounmpo,Kenneth Faried,CC,Antetokounmpo (MIL) makes contact with Faried (DEN) that affects his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=604,20170203MILDEN,20170203MILDEN-14,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,DEN,MIL
Q4,00:00.3,0.3,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, it is determined that Antetokounmpo (MIL) committed the foul before the game clock expired.",http://official.nba.com/last-two-minute-report/?gameNo=0021600752&eventNum=603,20170203MILDEN,20170203MILDEN-15,MIL,DEN,20170203,Lauren Holtkamp,Bill Kennedy,Karl Lane,117,121,L2M-MIL-DEN-02-03-17.pdf,http://www.basketball-reference.com/boxscores/201702030DEN.html,,
