period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:51.0,111,Foul: Personal,Michael Kidd-Gilchrist,Jrue Holiday,CNC,Kidd-Gilchrist (CHA) makes marginal contact with Holiday (NOP) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1036,20180124NOPCHA,20180124NOPCHA-0,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,NOP,CHA
Q4,01:51.0,111,Foul: Offensive,Anthony Davis,Michael Kidd-Gilchrist,CNC,Davis (NOP) sets the screen on Kidd-Gilchrist (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1036,20180124NOPCHA,20180124NOPCHA-1,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:49.0,109,Foul: Shooting,Kemba Walker,Jrue Holiday,CNC,Walker (CHA) maintains legal guarding position and makes incidental contact with Holiday (NOP) that does not affect his drive to the basket and shot attempt. 01:48.1 01:48.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1037,20180124NOPCHA,20180124NOPCHA-2,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,NOP,CHA
Q4,01:32.0,92,Foul: Shooting,DeMarcus Cousins,Dwight Howard,CNC,RHH shows Cousins (NOP) cleanly blocks Howard's (CHA) shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1038,20180124NOPCHA,20180124NOPCHA-3,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:31.0,91,Foul: Offensive,Dwight Howard,Anthony Davis,CNC,Howard (CHA) sets the screen on Davis (NOP) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1039,20180124NOPCHA,20180124NOPCHA-4,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,NOP,CHA
Q4,01:30.0,90,Foul: Shooting,Jrue Holiday,Marvin Williams,CNC,"Holiday (NOP) legally contests Williams' (CHA) jump shot attempt. Any ""high-five"" contact after the release is considered incidental. 01:23.1 01:23.1",http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1040,20180124NOPCHA,20180124NOPCHA-5,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:18.0,78,Foul: Offensive,Anthony Davis,Kemba Walker,CNC,Davis (NOP) sets the screen on Walker (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1041,20180124NOPCHA,20180124NOPCHA-6,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:12.0,72,Turnover: Traveling,DeMarcus Cousins,,,[Observable in enhanced video] Cousins (NOP) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1042,20180124NOPCHA,20180124NOPCHA-7,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:10.0,70,Turnover: Traveling,DeMarcus Cousins,,IC,Williams (CHA) makes foot to foot contact with Cousins (NOP) that causes him to lose his balance and take more than two steps. 01:10.1 01:10.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=611,20180124NOPCHA,20180124NOPCHA-8,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,CHA,NOP
Q4,01:04.0,64,Foul: Offensive,Dwight Howard,Darius Miller,CNC,Howard (CHA) sets the screen on Miller (NOP) and gives him room to avoid the contact. 01:02.1 01:02.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700701&eventNum=1043,20180124NOPCHA,20180124NOPCHA-9,NOP,CHA,20180124,J.B. DeRosa,David Guthrie,Josh Tiven,,101,96,L2M-NOP-CHA-01-24-2018.pdf,https://www.basketball-reference.com/boxscores/201801240CHO.html,NOP,CHA
