period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:52.0,112,Foul: Shooting,Tim Hardaway Jr.,Dwyane Wade,CNC,"Hardaway Jr. (ATL) legally contests Wade's (CHI) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1119,20170125ATLCHI,20170125ATLCHI-0,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
Q4,01:30.0,90,Foul: Offensive,Paul Zipser,Kent Bazemore,CNC,Zipser (CHI) sets the screen on Bazemore (ATL) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1120,20170125ATLCHI,20170125ATLCHI-1,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,ATL,CHI
Q4,01:01.0,61,Foul: Shooting,Kent Bazemore,Jimmy Butler,CNC,Bazemore (ATL) makes incidental contact with Butler (CHI) that does not affect his jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1125,20170125ATLCHI,20170125ATLCHI-2,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
Q4,00:58.6,58.6,Foul: Loose Ball,Robin Lopez,Paul Millsap,CNC,Lopez (CHI) and Millsap (ATL) briefly engage and separate during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1126,20170125ATLCHI,20170125ATLCHI-3,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,ATL,CHI
Q4,00:58.6,58.6,Foul: Loose Ball,Robin Lopez,Dwight Howard,CC,Lopez (CHI) makes contact to Howard's (ATL) head that affects his ability to retrieve the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=508,20170125ATLCHI,20170125ATLCHI-4,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,ATL,CHI
Q4,00:48.9,48.9,Foul: Personal,Dennis Schroder,Jimmy Butler,CNC,Schroder (ATL) makes incidental contact with Butler (CHI) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1127,20170125ATLCHI,20170125ATLCHI-5,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
Q4,00:46.4,46.4,Foul: Shooting,Kent Bazemore,Jimmy Butler,CNC,Bazemore (ATL) maintains legal guarding position and makes incidental contact with Butler (CHI) that does not affect his drive to the basket and shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1128,20170125ATLCHI,20170125ATLCHI-6,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
Q4,00:32.9,32.9,Turnover: Traveling,Dwyane Wade,,,[Observable in enhanced video] LHH shows Wade (CHI) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1130,20170125ATLCHI,20170125ATLCHI-7,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,ATL,CHI
Q4,00:28.2,28.2,Foul: Shooting,Paul Millsap,Nikola Mirotic,CNC,"Millsap (ATL) legally contests Mirotic's (CHI) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1131,20170125ATLCHI,20170125ATLCHI-8,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
Q4,00:20.1,20.1,Foul: Personal,Doug McDermott,Dennis Schroder,CC,McDermott (CHI) commits a take foul on Schroder (ATL).,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=523,20170125ATLCHI,20170125ATLCHI-9,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,ATL,CHI
Q4,00:14.5,14.5,Foul: Shooting,Kent Bazemore,Jimmy Butler,INC,LHH shows Bazemore (ATL) make contact with Butler's (CHI) wrist that affects his jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600683&eventNum=1133,20170125ATLCHI,20170125ATLCHI-10,ATL,CHI,20170125,Tony Brown,Scott Twardoski,Zach Zarba,119,114,L2M-ATL-CHI-01-25-17.pdf,http://www.basketball-reference.com/boxscores/201701250CHI.html,CHI,ATL
