period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:46.0,106,Foul: Personal,Bogdan Bogdanovic,D'Angelo Russell,CNC,Bogdanovic (SAC) maintains a legal guarding position on Russell (BKN) during his drive to the basket. 01:43.1 01:43.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1103,20180301BKNSAC,20180301BKNSAC-0,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,01:40.0,100,Foul: Shooting,Spencer Dinwiddie,Buddy Hield,CNC,Dinwiddie (BKN) maintains legal guarding position and absorbs the contact from Hield (SAC) on his driving shot attempt. 01:40.1 01:40.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1104,20180301BKNSAC,20180301BKNSAC-1,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
Q4,01:32.0,92,Foul: Offensive,Jarrett Allen,Buddy Hield,CNC,Allen (BKN) sets the screen on Hield (SAC) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1105,20180301BKNSAC,20180301BKNSAC-2,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
Q4,01:30.0,90,Foul: Shooting,De'Aaron Fox,Spencer Dinwiddie,CNC,Fox (SAC) maintains legal guarding position on Dinwiddie's (BKN) drive to the basket and shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1106,20180301BKNSAC,20180301BKNSAC-3,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,01:28.0,88,Foul: Loose Ball,Bogdan Bogdanovic,Jarrett Allen,CNC,Bogdanovic (SAC) and Allen (BKN) make incidental contact with one another during rebounding. 01:27.1 01:27.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1107,20180301BKNSAC,20180301BKNSAC-4,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,01:17.0,77,Foul: Personal,D'Angelo Russell,Skal Labissiere,CNC,Russell (BKN) makes clean contact with the ball on Labissiere's (SAC) post move.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1108,20180301BKNSAC,20180301BKNSAC-5,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
Q4,01:13.0,73,Foul: Offensive,Skal Labissiere,D'Angelo Russell,CNC,Labissiere (SAC) sets the screen on Russell (BKN) and gives him room to avoid the contact. 01:06.1 01:06.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1109,20180301BKNSAC,20180301BKNSAC-6,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,00:53.0,53,Foul: Offensive,Willie Cauley-Stein,Spencer Dinwiddie,CNC,Cauley-Stein (SAC) sets the screen on Dinwiddie (BKN) and gives him room to avoid the contact. 00:51.1 00:51.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1110,20180301BKNSAC,20180301BKNSAC-7,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,00:41.7,41.7,Foul: Personal,Skal Labissiere,D'Angelo Russell,CNC,Labissiere (SAC) makes marginal contact with Russell (BKN) that does not affect his ability to make the pass.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1111,20180301BKNSAC,20180301BKNSAC-8,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,00:40.5,40.5,Foul: Loose Ball,Buddy Hield,DeMarre Carroll,CNC,Hield (SAC) makes incidental contact with Carroll (BKN) during the loose ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1112,20180301BKNSAC,20180301BKNSAC-9,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,BKN,SAC
Q4,00:37.6,37.6,Turnover: 5 Second Inbound,DeMarre Carroll,,CNC,Caroll (BKN) releases the inbound pass within five seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1113,20180301BKNSAC,20180301BKNSAC-10,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,,
Q4,00:33.6,33.6,Foul: Offensive,Jarrett Allen,Buddy Hield,CNC,Allen (BKN) sets the screen on Hield (SAC) and gives him room to avoid the contact. Period 00:30.3 00:30.3,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1114,20180301BKNSAC,20180301BKNSAC-11,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
Q4,00:12.4,12.4,Foul: Shooting,Spencer Dinwiddie,De'Aaron Fox,CNC,Dinwiddie (BKN) maintains legal guarding position and makes incidental contact with Fox (SAC) that does not affect his drive to the basket and shot attempt. 00:09.2 00:09.2,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1115,20180301BKNSAC,20180301BKNSAC-12,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
Q4,00:08.0,8,Foul: Offensive,DeMarre Carroll,De'Aaron Fox,CNC,Carroll (BKN) makes marginal contact with Fox (SAC) off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021700924&eventNum=1116,20180301BKNSAC,20180301BKNSAC-13,BKN,SAC,20180301,Mark Ayotte,Bill Kennedy,Derek Richardson,,111,116,L2M-BKN-SAC-03-01-2018.pdf,https://www.basketball-reference.com/boxscores/201803010SAC.html,SAC,BKN
