period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:59.0,119,Foul: Offensive,Lonzo Ball,Marc Gasol,CNC,Gasol (MEM) firms up in a legal guarding position but Ball (LAL) jumps to the side of him and does not drive through him. 01:57.1 01:57.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1048,20180324LALMEM,20180324LALMEM-0,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,MEM,LAL
Q4,01:46.0,106,Foul: Personal,Kentavious Caldwell-Pope,Dillon Brooks,CNC,Caldwell-Pope (LAL) makes marginal contact with Brooks (MEM) on the perimeter. 01:36.1 01:36.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1049,20180324LALMEM,20180324LALMEM-1,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,MEM,LAL
Q4,01:19.0,79,Foul: Shooting,JaMychal Green,Julius Randle,CNC,Green (MEM) maintains legal guarding position and absorbs the contact from Randle (LAL) on his move to the basket. 01:15.1 01:15.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1050,20180324LALMEM,20180324LALMEM-2,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,LAL,MEM
Q4,01:07.0,67,Foul: Shooting,Julius Randle,Andrew Harrison,CNC,Randle (LAL) makes marginal contact with Harrison (MEM) that does not affect his driving shot attempt. 01:02.1 01:02.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1051,20180324LALMEM,20180324LALMEM-3,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,MEM,LAL
Q4,00:57.9,57.9,Foul: Technical,Andrew Harrison,,,All technical fouls are reviewed by League Operations.,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=586,20180324LALMEM,20180324LALMEM-4,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,,
Q4,00:51.7,51.7,Foul: Personal,Marc Gasol,Julius Randle,CNC,Gasol (MEM) makes marginal contact with Randle (LAL) off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1052,20180324LALMEM,20180324LALMEM-5,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,LAL,MEM
Q4,00:49.6,49.6,Foul: Offensive,Julius Randle,Jarell Martin,CNC,Randle (LAL) sets the screen on Martin (MEM) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1053,20180324LALMEM,20180324LALMEM-6,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,MEM,LAL
Q4,00:45.5,45.5,Foul: Shooting,JaMychal Green,Kyle Kuzma,CNC,Green (MEM) makes incidental contact with Kuzma (LAL) after his release and does not step into his landing area during his jump shot attempt. 00:39.6 00:39.6,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1054,20180324LALMEM,20180324LALMEM-7,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,LAL,MEM
Q4,00:36.3,36.3,Foul: Personal Take,Andrew Harrison,Lonzo Ball,CC,Harrison (MEM) commits a take foul on Ball (LAL).,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=592,20180324LALMEM,20180324LALMEM-8,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,LAL,MEM
Q4,00:36.3,36.3,Foul: Loose Ball,Marc Gasol,Brook Lopez,CNC,Gasol (MEM) and Lopez (LAL) briefly engage and separate during the rebound.,http://official.nba.com/last-two-minute-report/?gameNo=0021701092&eventNum=1055,20180324LALMEM,20180324LALMEM-9,LAL,MEM,20180324,Ray Acosta,Brian Forte,Zach Zarba,,100,93,L2M-LAL-MEM-03-24-2018.pdf,https://www.basketball-reference.com/boxscores/201803240MEM.html,LAL,MEM
