period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:47.0,107,Foul: Shooting,Wilson Chandler,Paul Millsap,CC,Chandler (DEN) makes contact with Millsap's (ATL) arm that affects his shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=538,20170208DENATL,20170208DENATL-0,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,ATL,DEN
Q4,01:37.0,97,Foul: Shooting,Dennis Schroder,Wilson Chandler,CNC,Schroder (ATL) maintains legal guarding position on the drive to the basket by Chandler (DEN).,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=1068,20170208DENATL,20170208DENATL-1,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,DEN,ATL
Q4,01:35.0,95,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the floor of ATL possession is confirmed.",http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=543,20170208DENATL,20170208DENATL-2,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,,
Q4,01:23.0,83,Foul: Offensive,Dwight Howard,Wilson Chandler,CNC,Howard (ATL) sets the screen on Chandler (DEN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=1069,20170208DENATL,20170208DENATL-3,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,DEN,ATL
Q4,01:10.0,70,Foul: Personal,Gary Harris,Dennis Schroder,CC,Harris (DEN) makes contact with Schroder (ATL) that affects his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=548,20170208DENATL,20170208DENATL-4,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,ATL,DEN
Q4,01:04.0,64,Foul: Offensive,Nikola Jokic,Malcolm Delaney,CNC,Jokic (DEN) maintains legal position while setting the screen on Delaney (ATL).,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=1070,20170208DENATL,20170208DENATL-5,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,ATL,DEN
Q4,00:54.1,54.1,Foul: Personal,Tim Hardaway Jr.,Wilson Chandler,CC,Hardaway Jr. (ATL) makes contact with Chandler's (DEN) arm that affects his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=555,20170208DENATL,20170208DENATL-6,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,DEN,ATL
Q4,00:51.9,51.9,Foul: Personal,Wilson Chandler,Kent Bazemore,CC,Chandler (DEN) commits a take foul on Bazemore (ATL).,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=562,20170208DENATL,20170208DENATL-7,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,ATL,DEN
Q4,00:40.3,40.3,Foul: Shooting,Dwight Howard,Jameer Nelson,CNC,"Howard (ATL) legally contests Nelson's (DEN) jump shot attempt. Any ""high-five"" contact after the release is considered incidental.",http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=1071,20170208DENATL,20170208DENATL-8,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,DEN,ATL
Q4,00:37.5,37.5,Foul: Personal,Wilson Chandler,Paul Millsap,CC,Chandler (DEN) commits a take foul on Millsap (ATL).,http://official.nba.com/last-two-minute-report/?gameNo=0021600785&eventNum=569,20170208DENATL,20170208DENATL-9,DEN,ATL,20170208,Mark Ayotte,Ed Malloy,Scott Wall,,106,117,L2M-DEN-ATL-02-08-17.pdf,https://www.basketball-reference.com/boxscores/201702080ATL.html,ATL,DEN
