period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,away,home,date,ref_1,ref_2,ref_3,ref_4,score_away,score_home,original_pdf,box_score_url,disadvantaged_team,committing_team
Q4,01:53.0,113,Foul: Shooting,Elfrid Payton,Lou Williams,CC,"Payton (ORL) makes contact with Williams' (LAL) arm, affecting his jump shot.",http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=479,20151111LALORL,20151111LALORL-0,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,LAL,ORL
Q4,01:20.0,80,Foul: Shooting,Tobias Harris,Julius Randle,CNC,Harris (ORL) maintains legal guarding position as he defends Randle's (LAL) drive to the basket.,http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=1290,20151111LALORL,20151111LALORL-1,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,LAL,ORL
Q4,01:00.0,60,Foul: Loose Ball,Roy Hibbert,Nikola Vucevic,CNC,Hibbert (LAL) and Vucevic (ORL) make incidental contact with one another during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=1291,20151111LALORL,20151111LALORL-2,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,ORL,LAL
Q4,00:38.9,38.9,Foul: Shooting,Tobias Harris,Julius Randle,CNC,Harris (ORL) cleanly blocks Randle's (LAL) jump shot.,http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=1292,20151111LALORL,20151111LALORL-3,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,LAL,ORL
Q4,00:27.8,27.8,Turnover: Offensive Goaltending,Nikola Vucevic,,CNC,Vucevic (ORL) does not touch the ball until it is outside of the cylinder.,http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=1293,20151111LALORL,20151111LALORL-4,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,LAL,ORL
Q4,00:01.5,1.5,Turnover: 24 Second Violation,,,CC,The shot by Williams (LAL) does not hit the rim and a 24 Second Violation is correctly called.,http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=504,20151111LALORL,20151111LALORL-5,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,,
Q4,00:01.5,1.5,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the court of a 24 Second Violation was upheld.",http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=505,20151111LALORL,20151111LALORL-6,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,,
Q4,00:01.2,1.2,Foul: Personal,Metta World Peace,Evan Fournier,CNC,"As Fournier (ORL) cuts toward the rim and World Peace (LAL) steps backwards, the two connect and fall, but the contact is incidental to their progress and not enough to warrant a foul.",http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=1294,20151111LALORL,20151111LALORL-7,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,ORL,LAL
Q4,00:00.0,0,Instant Replay: Support Ruling,,,CC,"After communicating with the Replay Center, the ruling on the court that Vucevic's (ORL) shot was released prior to the clock expiring was upheld. NOTE: Due to technical issues, video of plays may be unavailable or not matched to the correct time code. We apologize for any inconvenience and will post an update after the issue is resolved.",http://official.nba.com/last-two-minute-report/?gameNo=0021500114&eventNum=513,20151111LALORL,20151111LALORL-8,LAL,ORL,20151111,Marat Kogut,Ken Mauer,Michael Smith,,99,101,L2M-LAL-ORL-11-11-15.pdf,https://www.basketball-reference.com/boxscores/201511110ORL.html,,
