period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,disadvantaged_team,committing_team,ref_made_call
Q4,0:01:58,118,Foul: Personal,Dwight Howard,Marc Gasol,CNC,Howard (CHA) and Gasol (MEM) briefly engage and separate off ball.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1054,20171030CHAMEM,20171030CHAMEM-0,MEM,CHA,
Q4,0:01:57,117,Foul: Offensive,Marc Gasol,Michael Kidd-Gilchrist,CNC,Gasol (MEM) sets the screen on Kidd-Gilchrist (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1055,20171030CHAMEM,20171030CHAMEM-1,CHA,MEM,
Q4,0:01:51,111,Foul: Offensive,Marc Gasol,Dwight Howard,CNC,Gasol (MEM) makes incidental contact with Howard (CHA) that does not dislodge him from his legal guarding position. 01:48.1 01:48.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1056,20171030CHAMEM,20171030CHAMEM-2,CHA,MEM,
Q4,0:01:35,95,Turnover: 3 Second Violation,Marvin Williams,,CNC,Williams (CHA) is exiting the lane within three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1057,20171030CHAMEM,20171030CHAMEM-3,MEM,CHA,
Q4,0:01:35,95,Foul: Offensive,Dwight Howard,Mike Conley,CNC,Howard (CHA) sets the screen on Conley (MEM) and gives him room to avoid the contact. 01:29.1 01:29.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1057,20171030CHAMEM,20171030CHAMEM-4,MEM,CHA,
Q4,0:01:20,80,Turnover: Traveling,Tyreke Evans,Kemba Walker,,[Observable in enhanced video] Evans (MEM) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1058,20171030CHAMEM,20171030CHAMEM-5,CHA,MEM,
Q4,0:01:19,79,Foul: Personal,Kemba Walker,Tyreke Evans,CNC,Walker (CHA) makes incidental contact with Evans (MEM) that does not affect his SQBR. 01:11.1 01:11.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1058,20171030CHAMEM,20171030CHAMEM-6,MEM,CHA,
Q4,0:01:06,66,Foul: Personal,Mike Conley,Kemba Walker,CC,Conley (MEM) commits a take foul on Walker (CHA).,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=666,20171030CHAMEM,20171030CHAMEM-7,CHA,MEM,
Q4,0:01:06,66,Violation: Lane,Tyreke Evans,Kemba Walker,,[Incidental or immaterial] Evans (MEM) is in the lane when Walker (CHA) releases the free throw. 01:06.1 01:06.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1059,20171030CHAMEM,20171030CHAMEM-8,CHA,MEM,
Q4,0:01:01,61,Foul: Offensive,James Ennis III,Kemba Walker,CNC,Ennis III (MEM) sets the screen on Walker (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1060,20171030CHAMEM,20171030CHAMEM-9,CHA,MEM,
Q4,0:00:52.400000,52.4,Foul: Offensive,Marc Gasol,Kemba Walker,CNC,Gasol (MEM) sets the screen on Walker (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1061,20171030CHAMEM,20171030CHAMEM-10,CHA,MEM,
Q4,0:00:50.800000,50.8,Foul: Personal,Kemba Walker,Tyreke Evans,CNC,Walker (CHA) briefly grasps Evans' (MEM) jersey but it has no effect on his FOM. Period 00:45.1 00:45.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1062,20171030CHAMEM,20171030CHAMEM-11,MEM,CHA,
Q4,0:00:37.100000,37.1,Foul: Offensive,Dwight Howard,Dillon Brooks,CNC,Howard (CHA) sets the screen on Brooks (MEM) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1063,20171030CHAMEM,20171030CHAMEM-12,MEM,CHA,
Q4,0:00:36.100000,36.1,Foul: Personal,Dillon Brooks,Kemba Walker,CNC,Brooks (MEM) makes incidental contact with Walker (CHA) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1064,20171030CHAMEM,20171030CHAMEM-13,CHA,MEM,
Q4,0:00:28,28,Foul: Loose Ball,Dwight Howard,Marc Gasol,CNC,Howard (CHA) and Gasol (MEM) make incidental contact with one another during rebounding.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1065,20171030CHAMEM,20171030CHAMEM-14,MEM,CHA,
Q4,0:00:28,28,Foul: Shooting,James Ennis III,Jeremy Lamb,CC,Ennis III (MEM) makes body to body contact with Lamb (CHA) that affects his driving shot attempt. 00:26.6 00:26.6,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=672,20171030CHAMEM,20171030CHAMEM-15,CHA,MEM,
Q4,0:00:23,23,Foul: Offensive,Marc Gasol,Marvin Williams,CNC,Gasol (MEM) sets the screen on Williams (CHA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1066,20171030CHAMEM,20171030CHAMEM-16,CHA,MEM,
Q4,0:00:20.200000,20.2,Foul: Shooting,Kemba Walker,Tyreke Evans,CNC,Walker (CHA) legally contests Evans' (MEM) jump shot attempt.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1067,20171030CHAMEM,20171030CHAMEM-17,MEM,CHA,
Q4,0:00:18.700000,18.7,Foul: Loose Ball,Marvin Williams,Marc Gasol,CNC,Williams (CHA) and Gasol (MEM) briefly engage and separate during rebounding. 00:15.6 00:15.6,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1068,20171030CHAMEM,20171030CHAMEM-18,MEM,CHA,
Q4,0:00:14.300000,14.3,Foul: Personal Take,Dillon Brooks,Jeremy Lamb,CC,Brooks (MEM) commits a take foul on Lamb (CHA). 00:09.1 00:09.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=680,20171030CHAMEM,20171030CHAMEM-19,CHA,MEM,
Q4,0:00:06.500000,6.5,Foul: Personal,Mike Conley,Kemba Walker,CNC,Conley (MEM) deflects the ball away and makes incidental contact with Walker (CHA) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1069,20171030CHAMEM,20171030CHAMEM-20,CHA,MEM,
Q4,0:00:02.800000,2.8,Foul: Shooting,Dillon Brooks,Michael Kidd-Gilchrist,CNC,"Brooks (MEM) legally contests Kidd-Gilchrist's (CHA) play at the basket. Event Assessments: CC = Correct Call, IC = Incorrect Call, CNC = Correct Non-Call, INC = Incorrect Non-Call",http://official.nba.com/last-two-minute-report/?gameNo=0021700096&eventNum=1070,20171030CHAMEM,20171030CHAMEM-21,CHA,MEM,
Q4,0:01:56,116,Foul: Shooting,Jimmy Butler,Dion Waiters,CNC,Butler (MIN) legally contests the driving shot attempt by Waiters (MIA). 01:55.1 01:55.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1045,20171030MINMIA,20171030MINMIA-0,MIA,MIN,
Q4,0:01:48,108,Foul: Offensive,Taj Gibson,Goran Dragic,CNC,Gibson (MIN) sets the screen on Dragic (MIA) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1046,20171030MINMIA,20171030MINMIA-1,MIA,MIN,
Q4,0:01:40,100,Foul: Personal,Dion Waiters,Jimmy Butler,CNC,Waiters (MIA) makes incidental contact with Butler (MIN) that does not affect his SQBR. 01:38.1 01:38.1,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1047,20171030MINMIA,20171030MINMIA-2,MIN,MIA,
Q4,0:01:31,91,Foul: Offensive,Bam Adebayo,Jimmy Butler,CNC,Adebayo (MIA) sets the screen on Butler (MIN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1048,20171030MINMIA,20171030MINMIA-3,MIN,MIA,
Q4,0:01:24,84,Turnover: 3 Second Violation,Bam Adebayo,,,[Observable in enhanced video] Adebayo (MIA) never fully clears and is in the lane for longer than three seconds.,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1049,20171030MINMIA,20171030MINMIA-4,MIN,MIA,
Q4,0:01:23,83,Foul: Offensive,Kelly Olynyk,Jeff Teague,CNC,Olynyk (MIA) sets the screen on Teague (MIN) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021700093&eventNum=1049,20171030MINMIA,20171030MINMIA-5,MIN,MIA,
