date,home,away,committing_team,disadvantaged_team,review_decision
20150301,HOU,CLE,CLE,HOU,CC
20150301,HOU,CLE,HOU,CLE,CC
20150301,HOU,CLE,HOU,CLE,CC
20150301,HOU,CLE,CLE,HOU,CC
20150301,HOU,CLE,,,CC
20150301,HOU,CLE,CLE,HOU,INC
20150301,HOU,CLE,CLE,HOU,CC
20150301,HOU,CLE,HOU,CLE,INC
20150301,HOU,CLE,CLE,HOU,INC
20150301,HOU,CLE,,,CC
20150301,HOU,CLE,HOU,CLE,CC
20150301,HOU,CLE,CLE,HOU,CC
20150301,HOU,CLE,CLE,HOU,CC
20150301,HOU,CLE,,,CC
20150301,BOS,GSW,GSW,BOS,CC
20150301,BOS,GSW,BOS,GSW,INC
20150301,BOS,GSW,BOS,GSW,INC
20150301,BOS,GSW,GSW,BOS,CC
20150301,BOS,GSW,BOS,GSW,CC
20150301,BOS,GSW,BOS,GSW,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,NOP,DEN,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,,,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,NOP,DEN,CC
20150301,DEN,NOP,NOP,DEN,INC
20150301,DEN,NOP,,,CC
20150301,DEN,NOP,,,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,DEN,NOP,CC
20150301,DEN,NOP,DEN,NOP,CC
20150302,BKN,GSW,BKN,GSW,CC
20150302,BKN,GSW,,,CC
20150302,BKN,GSW,GSW,BKN,CC
20150302,MIN,LAC,LAC,MIN,CC
20150302,MIN,LAC,LAC,MIN,INC
20150302,MIN,LAC,LAC,MIN,CC
20150302,MIN,LAC,,,CC
20150302,MIN,LAC,MIN,LAC,CC
20150302,MIN,LAC,LAC,MIN,CC
20150302,MIN,LAC,MIN,LAC,INC
20150302,MIN,LAC,LAC,MIN,IC
20150302,MIN,LAC,LAC,MIN,CC
20150302,MIN,LAC,LAC,MIN,INC
20150302,MIN,LAC,MIN,LAC,CC
20150303,ATL,HOU,ATL,HOU,CC
20150303,ATL,HOU,,,CC
20150303,ATL,HOU,HOU,ATL,CC
20150303,ATL,HOU,HOU,ATL,CC
20150303,ATL,HOU,HOU,ATL,CC
20150303,ATL,HOU,HOU,ATL,CC
20150303,CHA,LAL,LAL,CHA,CC
20150303,CHA,LAL,,,CC
20150303,CHA,LAL,LAL,CHA,CC
20150303,CHA,LAL,CHA,LAL,CC
20150303,CHA,LAL,LAL,CHA,CC
20150303,CHA,LAL,LAL,CHA,INC
20150303,CHA,LAL,LAL,CHA,CC
20150303,CHA,LAL,LAL,CHA,CC
20150303,CHA,LAL,,,CC
20150303,CHI,WAS,WAS,CHI,INC
20150303,CHI,WAS,CHI,WAS,IC
20150303,CHI,WAS,WAS,CHI,INC
20150303,CHI,WAS,WAS,CHI,CC
20150303,CHI,WAS,CHI,WAS,CC
20150303,CHI,WAS,WAS,CHI,CC
20150303,CHI,WAS,WAS,CHI,INC
20150304,TOR,CLE,TOR,CLE,CC
20150304,TOR,CLE,TOR,CLE,CC
20150304,TOR,CLE,,,CC
20150304,TOR,CLE,TOR,CLE,CC
20150304,TOR,CLE,TOR,CLE,CC
20150304,NOP,DET,NOP,DET,CC
20150304,NOP,DET,DET,NOP,CC
20150304,NOP,DET,DET,NOP,CC
20150304,MIA,LAL,MIA,LAL,CC
20150304,MIA,LAL,MIA,LAL,CC
20150304,MIA,LAL,LAL,MIA,CC
20150304,MIA,LAL,LAL,MIA,IC
20150304,MIA,LAL,LAL,MIA,CC
20150304,HOU,MEM,MEM,HOU,CC
20150304,HOU,MEM,MEM,HOU,CC
20150304,HOU,MEM,HOU,MEM,CC
20150304,HOU,MEM,MEM,HOU,INC
20150304,HOU,MEM,MEM,HOU,INC
20150304,HOU,MEM,MEM,HOU,INC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,PHI,OKC,CC
20150304,OKC,PHI,OKC,PHI,INC
20150304,OKC,PHI,,,CC
20150304,OKC,PHI,,,CC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,PHI,OKC,CC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,PHI,OKC,CC
20150304,OKC,PHI,OKC,PHI,CC
20150304,OKC,PHI,PHI,OKC,CC
20150304,OKC,PHI,,,CC
20150304,OKC,PHI,PHI,OKC,CC
20150304,LAC,POR,,,CC
20150304,LAC,POR,,,CC
20150304,LAC,POR,,,CC
20150304,LAC,POR,LAC,POR,CC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,LAC,POR,CC
20150304,LAC,POR,LAC,POR,CC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,POR,LAC,INC
20150304,LAC,POR,POR,LAC,CC
20150304,LAC,POR,LAC,POR,INC
20150305,CHI,OKC,,,CC
20150305,CHI,OKC,CHI,OKC,CC
20150305,CHI,OKC,OKC,CHI,INC
20150305,CHI,OKC,OKC,CHI,CC
20150305,CHI,OKC,,,CC
20150305,CHI,OKC,,,CC
20150305,CHI,OKC,OKC,CHI,CC
20150305,CHI,OKC,OKC,CHI,CC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,,,CC
20150306,MEM,LAL,,,CC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,LAL,MEM,INC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,,,CC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,MEM,LAL,CC
20150306,MEM,LAL,MEM,LAL,IC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,LAL,MEM,CC
20150306,MEM,LAL,,,CC
20150306,WAS,MIA,,,IC
20150306,WAS,MIA,MIA,WAS,CC
20150306,WAS,MIA,MIA,WAS,CC
20150306,BKN,PHO,BKN,PHO,CC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,BKN,PHO,CC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,BKN,PHO,INC
20150306,BKN,PHO,BKN,PHO,CC
20150306,BKN,PHO,PHO,BKN,CC
20150306,BKN,PHO,BKN,PHO,INC
20150306,BKN,PHO,,,CC
20150306,BKN,PHO,BKN,PHO,CC
20150306,BKN,PHO,BKN,PHO,CC
20150306,BKN,PHO,BKN,PHO,CC
20150306,ORL,SAC,ORL,SAC,CC
20150306,ORL,SAC,,,CC
20150306,ORL,SAC,ORL,SAC,INC
20150306,ORL,SAC,ORL,SAC,CC
20150306,ORL,SAC,SAC,ORL,CC
20150306,ORL,SAC,SAC,ORL,CC
20150306,ORL,SAC,SAC,ORL,CC
20150307,PHI,ATL,PHI,ATL,CC
20150307,PHI,ATL,ATL,PHI,CC
20150307,NYK,IND,NYK,IND,CC
20150307,NYK,IND,IND,NYK,INC
20150307,NYK,IND,NYK,IND,CC
20150307,NOP,MEM,MEM,NOP,INC
20150307,NOP,MEM,NOP,MEM,CC
20150307,NOP,MEM,NOP,MEM,INC
20150307,NOP,MEM,NOP,MEM,CC
20150307,NOP,MEM,MEM,NOP,CC
20150307,NOP,MEM,MEM,NOP,CC
20150307,NOP,MEM,MEM,NOP,CC
20150307,MIA,SAC,,,CC
20150307,MIA,SAC,MIA,SAC,CC
20150307,MIA,SAC,MIA,SAC,CC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,,,CC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,MIA,SAC,CC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,MIA,SAC,IC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,SAC,MIA,CC
20150307,MIA,SAC,MIA,SAC,CC
20150307,MIL,WAS,MIL,WAS,CC
20150307,MIL,WAS,MIL,WAS,CC
20150307,MIL,WAS,WAS,MIL,IC
20150307,MIL,WAS,MIL,WAS,CC
20150307,MIL,WAS,WAS,MIL,CC
20150307,MIL,WAS,MIL,WAS,CC
20150307,MIL,WAS,WAS,MIL,CC
20150309,MIL,NOP,MIL,NOP,CC
20150309,MIL,NOP,,,CC
20150309,MIL,NOP,MIL,NOP,INC
