call_type,count_inc,count_ic,count_cc,count_cnc
Foul: Double Personal,4,1,1,3
Foul: Offensive,253,7,135,2098
Foul: Personal,208,52,2056,1903
Turnover: Traveling,190,6,49,120
Turnover: Out of Bounds,8,2,4,7
Foul: Loose Ball,184,14,233,729
Foul: Shooting,222,72,1128,2395
Turnover: 24 Second Violation,4,,111,3
Turnover: 3 Second Violation,39,,1,13
Turnover: Offensive Goaltending,2,,11,8
Violation: Lane,17,,7,8
Turnover: 5 Second Inbound,12,3,15,15
Foul: Defense 3 Second,106,,1,29
Turnover: Double Dribble,4,,4,9
Violation: Delay of Game,4,,19,1
Violation: Kicked Ball,3,4,26,21
Foul: Technical,4,,31,3
Turnover: Illegal Screen,2,,1,2
Violation: Double Lane,2,,,1
Foul: Away from Play,15,1,9,42
Violation: Defensive Goaltending,2,,17,36
Foul: Punching,1,,,
Turnover: 10 Second Violation,2,,,
Turnover: Stepped out of Bounds,8,1,21,16
Turnover: 5 Second Violation,1,,,
Turnover: Palming,5,,2,16
Turnover: Inbound Turnover,3,,,2
Turnover: Discontinue Dribble,2,,,2
Foul: Inbound,2,,,12
Violation: Other,1,,,
Turnover: Punched Ball,1,,,
Violation: Jump Ball,1,,7,1
Turnover: Illegal Assist,1,,,
Foul: Delay Technical,1,,2,
