bin,ic,inc,cc
12,8,61,126
13,5,49,155
3,9,81,448
1,8,91,566
5,11,60,263
17,6,48,128
0,12,89,676
10,9,50,132
23,4,36,121
21,4,56,128
14,8,47,145
16,7,47,133
2,18,86,526
6,8,77,243
18,6,55,144
19,8,50,133
9,7,58,153
22,7,54,115
8,5,64,181
15,3,48,151
7,5,57,202
4,3,80,355
20,5,48,133
