player,count_for_inc,count_for_ic,count_for,count_against_inc,count_against_ic,count_against,net
Marcin Gortat,37,1,38,4,2,6,32
Hassan Whiteside,22,2,24,4,,4,20
Karl-Anthony Towns,24,1,25,5,2,7,18
Dwight Howard,24,1,25,8,,8,17
Brook Lopez,23,,23,6,1,7,16
Al Horford,26,,26,8,2,10,16
Andre Drummond,18,1,19,2,2,4,15
Tyson Chandler,19,1,20,3,2,5,15
Matt Barnes,14,2,16,1,,1,15
Serge Ibaka,16,,16,2,,2,14
Draymond Green,22,,22,5,3,8,14
James Harden,26,5,31,18,1,19,12
Mason Plumlee,15,,15,3,,3,12
Robin Lopez,18,1,19,8,,8,11
Taj Gibson,12,,12,1,,1,11
Trevor Booker,10,1,11,,,,11
Cody Zeller,14,,14,3,,3,11
Aron Baynes,13,,13,2,,2,11
Russell Westbrook,22,1,23,12,1,13,10
Tyreke Evans,12,1,13,3,,3,10
Kenneth Faried,16,1,17,7,,7,10
Carmelo Anthony,17,,17,5,2,7,10
Zach LaVine,9,2,11,2,,2,9
Rudy Gobert,22,,22,11,2,13,9
Chris Paul,12,2,14,4,1,5,9
Darren Collison,10,1,11,2,,2,9
Zach Randolph,11,,11,3,,3,8
Monta Ellis,7,2,9,1,,1,8
Joakim Noah,11,,11,2,1,3,8
Nikola Vucevic,15,2,17,9,1,10,7
Dwyane Wade,12,5,17,8,2,10,7
Steven Adams,14,1,15,7,1,8,7
Blake Griffin,11,,11,5,,5,6
Bismack Biyombo,9,1,10,3,1,4,6
Kawhi Leonard,8,1,9,3,,3,6
Kyle Lowry,16,1,17,8,3,11,6
Patrick Beverley,6,,6,,,,6
Lance Stephenson,6,,6,,,,6
Marc Gasol,16,,16,10,1,11,5
Markieff Morris,10,,10,4,1,5,5
Reggie Jackson,11,2,13,8,,8,5
Evan Turner,7,2,9,3,1,4,5
DeMarcus Cousins,16,3,19,13,1,14,5
Jordan Clarkson,7,2,9,3,1,4,5
Trevor Ariza,11,,11,5,1,6,5
Nene,9,,9,4,,4,5
David Lee,6,,6,1,,1,5
Arron Afflalo,7,1,8,3,,3,5
Jae Crowder,6,,6,2,,2,4
Joe Johnson,7,,7,2,1,3,4
Lou Amundson,4,,4,,,,4
Devin Harris,6,,6,2,,2,4
Ish Smith,6,,6,2,,2,4
Dirk Nowitzki,15,1,16,10,2,12,4
Tobias Harris,6,1,7,2,1,3,4
Patrick Patterson,5,,5,1,,1,4
Rajon Rondo,8,,8,3,1,4,4
Julius Randle,8,,8,3,1,4,4
Willie Cauley-Stein,4,,4,,,,4
Michael Carter-Williams,3,3,6,2,,2,4
Nik Stauskas,2,2,4,,,,4
Seth Curry,4,,4,,,,4
Myles Turner,6,,6,1,1,2,4
Lucas Nogueira,4,,4,,,,4
Jaylen Brown,4,,4,,,,4
Denzel Valentine,4,,4,,,,4
Jusuf Nurkic,5,1,6,2,,2,4
Nicolas Batum,8,1,9,4,2,6,3
Austin Rivers,5,,5,2,,2,3
Marcus Morris,8,,8,2,3,5,3
Dewayne Dedmon,5,1,6,3,,3,3
Roy Hibbert,5,,5,1,1,2,3
Tim Duncan,6,1,7,4,,4,3
Giannis Antetokounmpo,18,,18,15,,15,3
Alex Len,4,,4,1,,1,3
David West,3,,3,,,,3
Meyers Leonard,4,1,5,1,1,2,3
Thabo Sefolosha,3,1,4,1,,1,3
Chris Bosh,2,1,3,,,,3
Boris Diaw,2,1,3,,,,3
Marcus Thornton,3,,3,,,,3
Ryan Anderson,4,2,6,3,,3,3
Raymond Felton,5,,5,1,1,2,3
Allen Crabbe,4,2,6,3,,3,3
Justise Winslow,6,,6,3,,3,3
Tony Allen,5,,5,1,1,2,3
Salah Mejri,4,,4,1,,1,3
Toney Douglas,2,1,3,,,,3
Doug McDermott,4,,4,1,,1,3
Domantas Sabonis,3,,3,,,,3
