team,count_for_inc,count_for_ic,count_for,count_against_inc,count_against_ic,count_against,net
DET,63,3,66,31,7,38,28
MIN,69,10,79,53,4,57,22
MIA,63,8,71,49,3,52,19
DEN,47,11,58,41,6,47,11
SAC,49,6,55,40,5,45,10
WAS,74,7,81,67,6,73,8
SAS,44,5,49,37,5,42,7
BKN,50,2,52,41,5,46,6
HOU,73,6,79,69,5,74,5
MEM,59,6,65,51,9,60,5
LAC,49,4,53,44,5,49,4
IND,52,10,62,53,5,58,4
NYK,63,2,65,56,6,62,3
ATL,58,9,67,56,8,64,3
ORL,35,6,41,36,3,39,2
TOR,69,3,72,63,8,71,1
PHO,49,5,54,49,5,54,0
OKC,55,4,59,54,8,62,-3
CHI,52,8,60,58,6,64,-4
POR,52,6,58,60,3,63,-5
GSW,46,4,50,50,6,56,-6
BOS,46,8,54,54,7,61,-7
DAL,58,12,70,66,11,77,-7
CHA,41,3,44,44,8,52,-8
MIL,41,4,45,50,6,56,-11
PHI,34,6,40,48,6,54,-14
NOP,41,6,47,56,6,62,-15
LAL,24,3,27,34,8,42,-15
CLE,46,5,51,67,5,72,-21
UTA,41,6,47,65,3,68,-21
