date,home,away,committing_team,disadvantaged_team,review_decision
20150301,HOU,CLE,CLE,HOU,INC
20150301,HOU,CLE,HOU,CLE,INC
20150301,HOU,CLE,CLE,HOU,INC
20150301,BOS,GSW,BOS,GSW,INC
20150301,BOS,GSW,BOS,GSW,INC
20150301,DEN,NOP,NOP,DEN,INC
20150302,MIN,LAC,LAC,MIN,INC
20150302,MIN,LAC,MIN,LAC,INC
20150302,MIN,LAC,LAC,MIN,IC
20150302,MIN,LAC,LAC,MIN,INC
20150303,CHA,LAL,LAL,CHA,INC
20150303,CHI,WAS,WAS,CHI,INC
20150303,CHI,WAS,CHI,WAS,IC
20150303,CHI,WAS,WAS,CHI,INC
20150303,CHI,WAS,WAS,CHI,INC
20150304,MIA,LAL,LAL,MIA,IC
20150304,HOU,MEM,MEM,HOU,INC
20150304,HOU,MEM,MEM,HOU,INC
20150304,HOU,MEM,MEM,HOU,INC
20150304,OKC,PHI,OKC,PHI,INC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,LAC,POR,INC
20150304,LAC,POR,POR,LAC,INC
20150304,LAC,POR,LAC,POR,INC
20150305,CHI,OKC,OKC,CHI,INC
20150306,MEM,LAL,LAL,MEM,INC
20150306,MEM,LAL,MEM,LAL,IC
20150306,WAS,MIA,,,IC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,PHO,BKN,INC
20150306,BKN,PHO,BKN,PHO,INC
20150306,BKN,PHO,BKN,PHO,INC
20150306,ORL,SAC,ORL,SAC,INC
20150307,NYK,IND,IND,NYK,INC
20150307,NOP,MEM,MEM,NOP,INC
20150307,NOP,MEM,NOP,MEM,INC
20150307,MIA,SAC,MIA,SAC,IC
20150307,MIL,WAS,WAS,MIL,IC
20150309,MIL,NOP,MIL,NOP,INC
20150310,LAL,DET,DET,LAL,INC
20150311,PHI,CHI,CHI,PHI,INC
20150311,PHI,CHI,PHI,CHI,INC
20150311,PHI,CHI,PHI,CHI,INC
20150311,PHI,CHI,CHI,PHI,IC
20150311,BOS,MEM,MEM,BOS,INC
20150311,BOS,MEM,MEM,BOS,INC
20150312,SAS,CLE,SAS,CLE,INC
20150312,SAS,CLE,SAS,CLE,INC
20150312,IND,MIL,MIL,IND,INC
20150312,IND,MIL,MIL,IND,INC
20150312,IND,MIL,MIL,IND,IC
20150313,BOS,ORL,ORL,BOS,INC
20150313,BOS,ORL,ORL,BOS,INC
20150314,UTA,DET,DET,UTA,INC
20150315,OKC,CHI,OKC,CHI,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,NOP,DEN,DEN,NOP,INC
20150315,NOP,DEN,DEN,NOP,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,NOP,DEN,DEN,NOP,INC
20150315,NOP,DEN,DEN,NOP,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,NOP,DEN,NOP,DEN,INC
20150315,LAC,HOU,LAC,HOU,INC
20150316,SAC,ATL,SAC,ATL,INC
20150316,GSW,LAL,GSW,LAL,INC
20150316,GSW,LAL,GSW,LAL,IC
20150317,NOP,MIL,MIL,NOP,INC
20150317,NOP,MIL,MIL,NOP,INC
20150317,NYK,SAS,SAS,NYK,INC
20150317,NYK,SAS,SAS,NYK,INC
20150317,NYK,SAS,NYK,SAS,INC
20150317,NYK,SAS,NYK,SAS,INC
20150317,NYK,SAS,SAS,NYK,INC
20150317,NYK,SAS,SAS,NYK,INC
20150317,NYK,SAS,NYK,SAS,INC
20150318,DAL,ORL,DAL,ORL,INC
20150318,DAL,ORL,ORL,DAL,INC
20150319,NYK,MIN,MIN,NYK,INC
20150319,NYK,MIN,MIN,NYK,INC
20150319,NYK,MIN,MIN,NYK,INC
20150319,NYK,MIN,NYK,MIN,INC
20150319,NYK,MIN,MIN,NYK,INC
20150319,NYK,MIN,NYK,MIN,IC
20150319,PHO,NOP,NOP,PHO,INC
20150319,PHO,NOP,NOP,PHO,INC
20150319,PHO,NOP,PHO,NOP,INC
20150320,CLE,IND,IND,CLE,INC
20150320,BKN,MIL,BKN,MIL,INC
20150320,BKN,MIL,BKN,MIL,INC
20150320,BKN,MIL,BKN,MIL,INC
20150320,BKN,MIL,MIL,BKN,INC
20150320,BKN,MIL,BKN,MIL,INC
20150322,PHO,DAL,DAL,PHO,INC
20150322,PHO,DAL,PHO,DAL,INC
20150322,PHO,DAL,DAL,PHO,INC
20150322,PHO,DAL,DAL,PHO,INC
20150322,PHO,DAL,PHO,DAL,IC
20150322,PHO,DAL,PHO,DAL,INC
20150322,PHO,DAL,DAL,PHO,INC
20150322,PHO,DAL,PHO,DAL,INC
20150322,BOS,DET,BOS,DET,INC
20150322,BOS,DET,DET,BOS,INC
20150322,BOS,DET,DET,BOS,INC
20150322,BOS,DET,BOS,DET,INC
20150322,BOS,DET,BOS,DET,INC
20150323,UTA,MIN,MIN,UTA,INC
20150323,UTA,MIN,UTA,MIN,INC
20150323,UTA,MIN,MIN,UTA,INC
20150324,MIL,MIA,MIA,MIL,INC
20150324,SAC,PHI,SAC,PHI,INC
20150324,SAC,PHI,PHI,SAC,INC
20150324,DET,TOR,TOR,DET,INC
20150325,CHA,BKN,BKN,CHA,INC
20150325,WAS,IND,WAS,IND,INC
20150325,MIN,LAL,MIN,LAL,INC
20150325,MIN,LAL,MIN,LAL,INC
20150325,MIN,LAL,LAL,MIN,IC
20150325,MIN,LAL,MIN,LAL,INC
20150325,MIN,LAL,LAL,MIN,INC
20150325,MIN,LAL,LAL,MIN,INC
20150325,DEN,PHI,DEN,PHI,INC
20150325,DEN,PHI,DEN,PHI,INC
20150325,UTA,POR,UTA,POR,INC
20150325,UTA,POR,UTA,POR,INC
20150326,MIL,IND,IND,MIL,INC
20150327,WAS,CHA,WAS,CHA,INC
20150327,WAS,CHA,WAS,CHA,INC
20150327,WAS,CHA,CHA,WAS,INC
20150327,WAS,CHA,CHA,WAS,INC
20150327,WAS,CHA,CHA,WAS,INC
20150327,PHO,POR,PHO,POR,INC
20150329,IND,DAL,DAL,IND,INC
20150329,IND,DAL,DAL,IND,INC
20150329,IND,DAL,IND,DAL,INC
20150329,BKN,LAL,BKN,LAL,INC
20150329,BKN,LAL,BKN,LAL,INC
20150329,CLE,PHI,CLE,PHI,INC
20150330,TOR,HOU,TOR,HOU,INC
20150330,PHI,LAL,PHI,LAL,INC
20150330,PHI,LAL,LAL,PHI,INC
20150331,BKN,IND,IND,BKN,INC
20150331,BKN,IND,IND,BKN,INC
20150401,MIL,CHI,MIL,CHI,INC
20150401,MIL,CHI,CHI,MIL,INC
20150401,OKC,DAL,OKC,DAL,IC
20150401,OKC,DAL,OKC,DAL,INC
20150401,HOU,SAC,SAC,HOU,INC
20150401,HOU,SAC,HOU,SAC,INC
20150402,GSW,PHO,GSW,PHO,INC
20150402,GSW,PHO,GSW,PHO,INC
20150403,SAC,NOP,NOP,SAC,INC
20150403,SAC,NOP,NOP,SAC,INC
20150403,MEM,OKC,OKC,MEM,INC
20150403,MEM,OKC,OKC,MEM,INC
20150404,TOR,BOS,TOR,BOS,INC
20150404,TOR,BOS,BOS,TOR,INC
20150404,TOR,BOS,BOS,TOR,INC
20150404,MIL,ORL,,,INC
20150404,CHA,PHI,CHA,PHI,INC
20150404,PHO,UTA,PHO,UTA,INC
20150404,PHO,UTA,PHO,UTA,INC
20150405,CLE,CHI,CHI,CLE,INC
20150405,CLE,CHI,CLE,CHI,INC
20150405,OKC,HOU,OKC,HOU,INC
20150405,OKC,HOU,OKC,HOU,INC
