bin,ic,inc,cc
12,8,50,110
13,5,36,127
3,9,69,367
1,7,73,447
5,9,45,217
17,4,41,108
0,11,66,557
10,8,43,119
23,4,27,97
21,4,50,101
14,6,40,123
16,7,39,114
2,14,71,424
6,8,65,192
18,6,43,119
19,7,43,112
9,7,46,125
22,6,40,95
8,4,47,151
15,3,39,117
7,5,48,170
4,1,65,301
20,4,40,111
