period,time,seconds_left,call_type,committing_player,disadvantaged_player,review_decision,comment,video,game_id,play_id,disadvantaged_team,committing_team,ref_made_call
Q4,0:02:00,120,Foul: Shooting,Skal Labissiere,Thaddeus Young,CC,Labissiere (SAC) makes contact with Young (IND) that affects his shot attempt near the rim. 01:57.1 01:57.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=543,20180329INDSAC,20180329INDSAC-0,IND,SAC,
Q4,0:01:47,107,Foul: Shooting,Victor Oladipo,Willie Cauley-Stein,CNC,Oladipo (IND) cleanly blocks Cauley-Stein's (SAC) shot attempt near the rim. 01:42.1 01:42.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1029,20180329INDSAC,20180329INDSAC-1,SAC,IND,
Q4,0:01:28,88,Foul: Personal,Skal Labissiere,Thaddeus Young,CNC,Labissiere (SAC) makes contact with Young (IND) that does not affect his FOM off ball. 01:25.1 01:25.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1030,20180329INDSAC,20180329INDSAC-2,IND,SAC,
Q4,0:01:24,84,Foul: Personal,Darren Collison,Bogdan Bogdanovic,IC,LATR shows Collison (IND) and Bogdanovic (SAC) make incidental contact with one another in transition.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=554,20180329INDSAC,20180329INDSAC-3,SAC,IND,Ben Taylor
Q4,0:01:18,78,Foul: Offensive,Skal Labissiere,Bojan Bogdanovic,CNC,Labissiere (SAC) sets the screen on Bogdanovic (IND) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1031,20180329INDSAC,20180329INDSAC-4,IND,SAC,
Q4,0:01:09,69,Foul: Personal,Domantas Sabonis,Willie Cauley-Stein,CNC,Sabonis (IND) maintains legal guarding position and makes incidental contact with Cauley-Stein (SAC) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1032,20180329INDSAC,20180329INDSAC-5,SAC,IND,
Q4,0:01:09,69,Foul: Personal,Thaddeus Young,Willie Cauley-Stein,CNC,Young (IND) makes marginal contact with Cauley-Stein (SAC) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1032,20180329INDSAC,20180329INDSAC-6,SAC,IND,
Q4,0:01:08,68,Turnover: 3 Second Violation,Skal Labissiere,,CNC,The shot is imminent when Labissiere (SAC) is in the lane for three seconds. 01:06.1 01:06.1,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1033,20180329INDSAC,20180329INDSAC-7,IND,SAC,
Q4,0:00:48.600000,48.6,Turnover: Traveling,Darren Collison,,CC,Collison (IND) moves his pivot foot. 00:48.7 00:48.7,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=559,20180329INDSAC,20180329INDSAC-8,SAC,IND,
Q4,0:00:34.200000,34.2,Turnover: Traveling,Bogdan Bogdanovic,,,[Observable in enhanced video] Bogdanovic (SAC) moves his pivot foot.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1034,20180329INDSAC,20180329INDSAC-9,IND,SAC,
Q4,0:00:33.400000,33.4,Foul: Personal,Victor Oladipo,Bogdan Bogdanovic,CNC,Oladipo (IND) maintains legal guarding position and makes incidental contact with Bogdanovic (SAC) that does not affect his SQBR.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1035,20180329INDSAC,20180329INDSAC-10,SAC,IND,
Q4,0:00:30.100000,30.1,Foul: Personal,Bojan Bogdanovic,Buddy Hield,CC,Bogdanovic (IND) makes body to body contact with Hield (SAC) that affects his SQBR. Period 00:30.2 00:30.2,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=560,20180329INDSAC,20180329INDSAC-11,SAC,IND,
Q4,0:00:19.500000,19.5,Foul: Offensive,Myles Turner,Buddy Hield,CNC,Turner (IND) sets the screen on Hield (SAC) and gives him room to avoid the contact. 00:18.0 00:18.0,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1036,20180329INDSAC,20180329INDSAC-12,SAC,IND,
Q4,0:00:17.300000,17.3,Foul: Offensive,Willie Cauley-Stein,Victor Oladipo,CNC,Cauley-Stein (SAC) sets the screen on Oladipo (IND) and gives him room to avoid the contact.,http://official.nba.com/last-two-minute-report/?gameNo=0021701127&eventNum=1037,20180329INDSAC,20180329INDSAC-13,IND,SAC,
