player,count_for_inc,count_for_ic,count_for,count_against_inc,count_against_ic,count_against,net
Marcin Gortat,22,1,23,3,1,4,19
Brook Lopez,23,,23,4,1,5,18
Karl-Anthony Towns,19,1,20,3,,3,17
Hassan Whiteside,16,1,17,1,,1,16
Tyson Chandler,16,1,17,2,2,4,13
Dwight Howard,17,1,18,5,,5,13
Mason Plumlee,15,,15,2,,2,13
Matt Barnes,12,2,14,1,,1,13
Draymond Green,19,,19,4,3,7,12
Serge Ibaka,12,,12,1,,1,11
Kenneth Faried,16,1,17,6,,6,11
Carmelo Anthony,17,,17,4,2,6,11
James Harden,21,5,26,15,1,16,10
Al Horford,18,,18,6,2,8,10
Darren Collison,10,1,11,1,,1,10
Cody Zeller,13,,13,3,,3,10
Zach LaVine,9,2,11,2,,2,9
Rudy Gobert,15,,15,5,1,6,9
Trevor Booker,8,1,9,,,,9
Russell Westbrook,17,1,18,9,1,10,8
Nikola Vucevic,13,2,15,6,1,7,8
Tyreke Evans,10,,10,2,,2,8
Joakim Noah,11,,11,2,1,3,8
Andre Drummond,9,1,10,1,2,3,7
Monta Ellis,6,2,8,1,,1,7
Reggie Jackson,11,1,12,6,,6,6
DeMarcus Cousins,15,3,18,11,1,12,6
Jordan Clarkson,7,2,9,2,1,3,6
Bismack Biyombo,9,1,10,3,1,4,6
Robin Lopez,11,1,12,6,,6,6
Taj Gibson,7,,7,1,,1,6
Arron Afflalo,7,1,8,2,,2,6
Gorgui Dieng,7,,7,1,1,2,5
Nene,7,,7,2,,2,5
Paul George,7,5,12,7,,7,5
Joe Johnson,7,,7,2,1,3,4
Lou Amundson,4,,4,,,,4
Devin Harris,5,,5,1,,1,4
Evan Turner,6,2,8,3,1,4,4
Dwyane Wade,9,5,14,8,2,10,4
Ish Smith,4,,4,,,,4
Trevor Ariza,8,,8,3,1,4,4
Dirk Nowitzki,14,1,15,9,2,11,4
Kyle Lowry,12,1,13,6,3,9,4
Steven Adams,8,1,9,4,1,5,4
Ryan Anderson,4,2,6,2,,2,4
Raymond Felton,4,,4,,,,4
Aron Baynes,6,,6,2,,2,4
Michael Carter-Williams,3,3,6,2,,2,4
Patrick Beverley,4,,4,,,,4
Lucas Nogueira,4,,4,,,,4
Zach Randolph,5,,5,2,,2,3
Austin Rivers,4,,4,1,,1,3
Roy Hibbert,5,,5,1,1,2,3
Nikola Mirotic,3,2,5,2,,2,3
Tim Duncan,6,1,7,4,,4,3
Will Barton,4,2,6,3,,3,3
Alex Len,4,,4,1,,1,3
David West,3,,3,,,,3
Meyers Leonard,4,1,5,1,1,2,3
John Henson,3,,3,,,,3
David Lee,3,,3,,,,3
DeMarre Carroll,5,,5,1,1,2,3
Thabo Sefolosha,3,1,4,1,,1,3
Kristaps Porzingis,7,,7,4,,4,3
Harrison Barnes,5,,5,2,,2,3
Chris Bosh,2,1,3,,,,3
Marcus Thornton,3,,3,,,,3
Kawhi Leonard,5,,5,2,,2,3
Justise Winslow,6,,6,3,,3,3
Nik Stauskas,1,2,3,,,,3
Tony Allen,5,,5,1,1,2,3
Salah Mejri,4,,4,1,,1,3
Devin Booker,3,,3,,,,3
Seth Curry,3,,3,,,,3
Toney Douglas,2,1,3,,,,3
Jae Crowder,4,,4,2,,2,2
Gary Neal,1,1,2,,,,2
Markieff Morris,6,,6,4,,4,2
Dewayne Dedmon,4,,4,2,,2,2
Anthony Davis,10,3,13,10,1,11,2
Kevin Martin,2,1,3,1,,1,2
Solomon Hill,2,,2,,,,2
Greivis Vasquez,2,,2,,,,2
Wilson Chandler,3,1,4,2,,2,2
Anthony Morrow,2,,2,,,,2
Andrew Bogut,4,,4,2,,2,2
Omer Asik,3,,3,1,,1,2
Kelly Olynyk,2,,2,,,,2
Timofey Mozgov,2,,2,,,,2
Tobias Harris,4,1,5,2,1,3,2
Kendrick Perkins,2,,2,,,,2
Patrick Patterson,3,,3,1,,1,2
Evan Fournier,5,1,6,4,,4,2
Tristan Thompson,7,,7,5,,5,2
Ed Davis,3,,3,1,,1,2
E'Twaun Moore,4,,4,1,1,2,2
Boris Diaw,1,1,2,,,,2
Lavoy Allen,2,,2,,,,2
Rajon Rondo,4,,4,2,,2,2
Anthony Tolliver,2,,2,,,,2
Dennis Schroder,6,1,7,4,1,5,2
Chandler Parsons,2,2,4,2,,2,2
Julius Randle,4,,4,2,,2,2
Willie Cauley-Stein,2,,2,,,,2
Jamal Crawford,3,,3,1,,1,2
Nikola Jokic,5,,5,2,1,3,2
Wesley Johnson,2,,2,,,,2
Greg Monroe,5,,5,2,1,3,2
Shaun Livingston,4,,4,1,1,2,2
Emmanuel Mudiay,2,3,5,3,,3,2
Gary Harris,2,,2,,,,2
Lance Stephenson,2,,2,,,,2
Norman Powell,2,,2,,,,2
Doug McDermott,3,,3,1,,1,2
Richard Jefferson,2,1,3,1,,1,2
Kevin Seraphin,3,,3,1,,1,2
Avery Bradley,5,,5,4,,4,1
Dante Cunningham,3,,3,2,,2,1
Spencer Hawes,1,,1,,,,1
Courtney Lee,1,,1,,,,1
Hedo Turkoglu,1,,1,,,,1
JJ Redick,3,2,5,3,1,4,1
Nicolas Batum,6,1,7,4,2,6,1
Jeremy Lin,4,,4,2,1,3,1
Marcus Morris,6,,6,2,3,5,1
Danny Green,1,,1,,,,1
Ersan Ilyasova,4,,4,3,,3,1
Giannis Antetokounmpo,12,,12,11,,11,1
Kentavious Caldwell-Pope,3,1,4,2,1,3,1
Omri Casspi,1,,1,,,,1
Tiago Splitter,1,,1,,,,1
Tony Parker,4,,4,1,2,3,1
Quincy Pondexter,1,,1,,,,1
Eric Bledsoe,2,2,4,3,,3,1
Thaddeus Young,3,,3,2,,2,1
Gerald Wallace,1,,1,,,,1
Damjan Rudez,1,,1,,,,1
Mo Williams,1,,1,,,,1
Terrence Ross,2,,2,1,,1,1
