bin,ic,inc,cc
12,8,45,96
13,5,35,122
3,9,65,328
1,7,72,420
5,9,41,199
17,4,40,100
0,11,57,512
10,6,36,111
23,4,25,87
21,4,47,88
14,6,37,112
16,7,35,106
2,14,66,393
6,7,58,174
18,6,39,105
19,7,41,97
9,7,42,114
22,5,33,89
8,4,45,135
15,3,37,105
7,5,45,153
4,1,60,276
20,4,37,102
